"<b>One Phase</b> = collection transaction is done automatically, no intervention is required from the merchant. Option is suitable for services such as insurance, tickets / subscriptions, where ""deposit"" is made automatically for successfully completed transactions. <br/><b>Two Phase</b> = collection transaction takes place only after the merchant performs the collection operation. Option is suitable for goods services that require delivery.","<b>One Phase</b> = collection transaction is done automatically, no intervention is required from the merchant. Option is suitable for services such as insurance, tickets / subscriptions, where ""deposit"" is made automatically for successfully completed transactions. <br/><b>Two Phase</b> = collection transaction takes place only after the merchant performs the collection operation. Option is suitable for goods services that require delivery."
"%1 are refunded in Magento","%1 are refunded in Magento"
"%1 are refunded online","%1 are refunded online"
"3DS authorization has not been performed.","3DS authorization has not been performed."
"3DS2 authentication is declined by Authentication Response (ARes) – issuer","3DS2 authentication is declined by Authentication Response (ARes) – issuer"
"3DS2 authentication status in ARes is unknown - issuer","3DS2 authentication status in ARes is unknown - issuer"
"3DS2 CReq cancelled - client","3DS2 CReq cancelled - client"
"3DS2 CReq failed - client/issuer","3DS2 CReq failed - client/issuer"
"3DS2 unknown status in RReq - issuer","3DS2 unknown status in RReq - issuer"
"Access denied","Access denied"
"Active","Active"
"Amount cannot be 0 or negative for online refund!","Amount cannot be 0 or negative for online refund!"
"Amount is invalid","Amount is invalid"
"Amount was captured.","Amount was captured."
"Authorization ACS initiated","Authorization ACS initiated"
"Authorization declined","Authorization declined"
"Authorization reversed","Authorization reversed"
"Authorization was declined. Order cannot be canceled.","Authorization was declined. Order cannot be canceled."
"Authorized","Authorized"
"Base Currency","Base Currency"
"BT cancel response:","BT cancel response:"
"BT capture response:","BT capture response:"
"BT iPay Payment","BT iPay Payment"
"BT Order ID","BT Order ID"
"BT Order ID: ","BT Order ID: "
"BT refund response:","BT refund response:"
"BT result response:","BT result response:"
"BT Status","BT Status"
"Callback","Callback"
"Cancel pending orders older than [hours]","Cancel pending orders older than [hours]"
"Card blocked. Contact the issuing bank or retry the transaction with another card.","Card blocked. Contact the issuing bank or retry the transaction with another card."
"Card expired.","Card expired."
"Card is expired","Card is expired"
"Card is lost.","Card is lost."
