"<b>One Phase</b> = collection transaction is done automatically, no intervention is required from the merchant. Option is suitable for services such as insurance, tickets / subscriptions, where "deposit" is made automatically for successfully completed transactions. <br/><b>Two Phase</b> = collection transaction takes place only after the merchant performs the collection operation. Option is suitable for goods services that require delivery.","<b>One Phase</b> = tranzacția se decontează automat fără a fi nevoie de finalizarea ei de către un operator, după verificarea stocului. Opțiunea este folosită îndeosebi pentru servicii gen asigurări/bilete/abonamente. <br/><b>Two Phase</b> = tranzacția necesită intervenție pentru trimiterea în decontare. Opțiunea este folosită îndeosebi serviciilor de bunuri care necesită livrare."
"%1 are refunded in Magento","%1 sunt rambursați în Magento"
"%1 are refunded online","%1 sunt rambursați online"
"3DS authorization has not been performed.","Autorizarea 3DS nu a fost efectuată."
"3DS2 authentication is declined by Authentication Response (ARes) – issuer","Autentificarea 3DS2 este refuzată de Authentication Response (ARes) – emitent"
"3DS2 authentication status in ARes is unknown - issuer","Starea de autentificare 3DS2 în ARes este necunoscută - emitent"
"3DS2 CReq cancelled - client","3DS2 CReq anulat - client"
"3DS2 CReq failed - client/issuer","3DS2 CReq a eșuat - client/emitent"
"3DS2 unknown status in RReq - issuer","Stare necunoscută 3DS2 în RReq - emitent"
"Access denied","Acces interzis"
"Active","Activ"
"Amount cannot be 0 or negative for online refund!","Suma returnată nu poate fi 0 sau negativă pentru rambursare online!"
"Amount is invalid","Valoarea comenzii nu este validă"
"Amount was captured.","Valoarea comenzii a fost depozitată."
"Authorization ACS initiated","Autorizarea ACS iniţializată"
"Authorization declined","Autorizarea refuzată"
"Authorization reversed","Autorizarea inversată"
"Authorization was declined. Order cannot be canceled.","Preautorizarea a eșuat. Comanda nu poate fi anulată."
"Authorized","Autorizat"
"Base Currency","Moneda de bază"
"BT cancel response:","Răspunsul de anulare BT:"
"BT capture response:","Răspunsul de depozitare BT:"
"BT iPay Payment","Plata prin BT iPay"
"BT Order ID","Nr. comandă BT"
"BT Order ID: ","Nr. comandă BT: "
"BT refund response:","Răspunsul de rambursare BT:"
"BT result response:","Răspunsul BT:"
"BT Status","Status BT"
"Callback","Callback"
"Cancel pending orders older than [hours]","Anulați comenzile în așteptare mai vechi de [ore]"
"Card blocked. Contact the issuing bank or retry the transaction with another card.","Card blocat. Contactați banca emitentă sau reîncercați tranzacția cu alt card."
"Card expired.","Card expirat."
"Card is expired","Cardul este expirat"
"Card is lost.","Cardul este pierdut."
"Card limitations exceeded.","Limitările cardului au fost depășite."
"Card number is incorrect.","Numărul cardului este incorect."
"Card restricted (temporary or permanent block).","Card restricționat (blocat temporar sau permanent)."
"Charged currency","Moneda taxată"
"Continue to BT iPay","Continuă spre BT iPay"
"Credit Memo Reference Number: %1","Număr Referinţă Rambursare: %1"
"Currency is not supported!","Moneda nu este acceptată!"
"Debug Logging","Înregistrare pentru depanare"
"Declined. Please, contact the Issuing bank.","Refuzat. Vă rugăm să contactați banca emitentă."
"Decryption Key (Base64)","Cheia de Decriptare (Base64)"
"Decryption key is not set!","Cheia de Decriptare nu este setată!"
"Deposited","Depozitat"
"Description On Bank Receipt","Descrierea de pe Extrasul Bancar"
"Error with cancel on transaction.","Eroare cu tranzacţia de anulare."
"Error with cancel on transaction: [Code: %1] %2","Eroare cu tranzacţia de anulare: [Cod: %1] %2"
"Error with capture on transaction.","Eroare cu tranzacţia de depozitare."
"Error with capture on transaction: [Code: %1] %2","Eroare cu tranzacţia de depozitare: [Cod: %1] %2"
"Error with capture on transaction: Wrong status, currency or deposited amount. Please contact bank.","Eroare cu tranzacţia de depozitare: Statusul, moneda sau suma depozitată sunt greşite. Vă rugăm contactaţi banca."
"Error with payment method. Please select different payment method.","Eroare cu metoda de plată. Vă rugăm folosiţi o altă metodă."
"Error with refund on transaction.","Eroare cu tranzacţia de rambursare."
"Error with refund on transaction: [Code: %1] %2","Eroare cu tranzacţia de rambursare: [Cod: %1] %2"
"Error with refund on transaction: The credit memo is missing.","Eroare cu tranzacţia de rambursare: Rambursarea lipsește."
"Error with refund on transaction: Wrong status, currency or refunded amount. Please contact bank.","Eroare cu tranzacţia de rambursare: Statusul, moneda sau suma rambursată sunt greşite. Vă rugăm contactaţi banca."
"Fetch Status","Preluare stare"
"Fraud is suspected.","Se suspectează fraudă."
"Illegal transaction.","Tranzacție ilegală."
"Inactive card. Please activate the card.","Card inactiv. Vă rugăm activați cardul."
"Installment transaction is not allowed with this card. Please use a credit card issued by Banca Transilvania.","Tranzacția în rate nu este permisă cu acest card. Te rugăm să folosești un card de credit emise de Banca Transilvania."
